#OTU ID,tax.,Division,SubDiv.,Class,Order,Family,Genus,#OTU ID,S1.28,S1.33,S1.56,S1.63,S1.78,S2.22,S2.29,S2.56,S2.73,S2.78,S2.78.2,S3.23,S3.27,S3.55,S3.73,S3.77,S4.18,S4.22,S4.46,S4.68,S4.73,S5.13,S5.29,S5.56,S5.74,S5.88,R1.14,R1.29,R1.55,R1.55.2,R1.73,R1.89,R2.19,R2.25,R2.45,R2.63,R2.77,R3.29,R3.34,R3.57,R3.68,R3.68.2,R3.72,R4.12,R4.28,R4.45,R4.45.2,R4.64,R4.90,R5.28,R5.32,R5.32.2,R5.54,R5.77,R5.92,Control
238,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Strophariaceae;
            Galerina",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Strophariaceae, Galerina,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
528,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Strophariaceae;
            Galerina",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Strophariaceae, Galerina,528,19,0,0,24,4,0,0,0,0,0,0,7,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
580,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Strophariaceae;
            Galerina",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Strophariaceae, Galerina,580,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Strophariaceae;
            Galerina",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Strophariaceae, Galerina,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
836,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Strophariaceae;
            Galerina",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Strophariaceae, Galerina,836,0,0,5,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,202,7,0,3,0,0,0,0,0,0,1,0,0,0,37,0,19,46,0,0,0,0,0,0,0,0,0,0,1,1,1,0,99,0,0
1086,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Strophariaceae;
            Galerina",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Strophariaceae, Galerina,1086,0,0,0,2,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Strophariaceae;
            Galerina",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Strophariaceae, Galerina,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
43,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Strophariaceae;
            Hypholoma",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Strophariaceae, Hypholoma,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,0,0,8,0,17,0
17,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Tricholomataceae, Mycena,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Tricholomataceae, Mycena,18,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
115,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Tricholomataceae, Mycena,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;, Tricholomataceae, Mycena,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;, Tricholomataceae, Mycena,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;, Tricholomataceae, Mycena,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;, Tricholomataceae, Mycena,265,0,0,0,0,0,0,52,43,40,0,0,42,18,0,0,11,0,0,0,0,0,19,36,24,0,0,0,0,0,0,1,0,24,0,0,0,0,27,0,0,0,7,0,217,7,47,47,0,121,0,0,0,2,360,0,230
274,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;, Tricholomataceae, Mycena,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;, Tricholomataceae, Mycena,617,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
620,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;, Tricholomataceae, Mycena,620,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,4,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;, Tricholomataceae, Mycena,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;, Tricholomataceae, Mycena,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;, Tricholomataceae, Mycena,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;, Tricholomataceae, Mycena,825,0,0,0,0,0,183,89,8,31,0,0,28,14,0,1,86,6,268,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;, Tricholomataceae, Mycena,878,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0
888,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;, Tricholomataceae, Mycena,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
911,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;, Tricholomataceae, Mycena,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
965,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae;
            Mycena",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;, Tricholomataceae, Mycena,965,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
